Average Polarized Winner,Harmonic Utility,Least Polarized Winner,Linear Utility,LogProduct Utility,Maximin Support,Maximum Utility,Most Blocking Loser,Most Polarized Winner,PreferredToRule,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
0.09956916303058942,0.8332194169819795,0.08568439990828758,1.2423333333333333,0.2029270111844942,0.32166000000000006,0.4291916666666667,0.45,0.10769683723806357,1.0,2.147802067700518,0.13649623360291266,5.4571290751557856e-5,837571398484869376,DRB2,6,0.4600453619584359
0.08696696612194987,0.812740605908712,0.07371793667667162,1.0295333333333334,0.18597965513126602,0.3021966666666666,0.4618416666666667,0.168,0.10769683723806357,0.0,0.9992235050858758,0.14317372290311822,0.00018263190328208524,837571398484869376,DRB3,6,0.4600453619584359
0.09956916303058942,0.8332194169819795,0.08568439990828758,1.2423333333333333,0.2029270111844942,0.32166000000000006,0.4291916666666667,0.45,0.10769683723806357,1.0,2.147802067700518,0.13649623360291266,5.4571290751557856e-5,837571398484869376,DRB4,6,0.4600453619584359
0.09678519937051865,0.8650149227288789,0.08290049684564511,1.178025,0.2380074823408974,0.3878874999999999,0.4432416666666667,0.231,0.10769683723806357,-1.0,1.349894963523428,0.14429216545772894,0.00010083938621232788,837571398484869376,EAZ,6,0.4600453619584359
0.08439003338474795,0.7261234044294749,0.07371793667667162,0.9713583333333333,0.09400701522507746,0.2646815789473684,0.44543333333333335,0.645,0.10769683723806357,-1.0,1.4670986209076764,0.14320046801178354,0.00015200065441980126,837571398484869376,MES_ExLR,6,0.4600453619584359
0.07811383352555906,0.6054287988769664,0.020172280584736822,0.9396916666666666,-0.04627154145371019,0.131,0.28858333333333336,1.569,0.09836209326885667,-1.0,1.9215454832277243,0.15260485103662944,0.0008918834465592997,837571398484869376,STV,6,0.4600453619584359
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.42615833333333325,0.42615833333333336,0.567,0.136749309098994,0.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,AS,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.42615833333333325,0.42615833333333336,0.567,0.136749309098994,0.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,DRB1,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.4261583333333334,0.42615833333333336,0.567,0.136749309098994,-1.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,DRB2,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.42615833333333325,0.42615833333333336,0.567,0.136749309098994,0.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,DRB3,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.4261583333333334,0.42615833333333336,0.567,0.136749309098994,-1.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,DRB4,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.4261583333333333,0.42615833333333336,0.567,0.136749309098994,1.0,4.141542283363905,0.20118341663887476,1.2057555299336615e-5,674286095433037952,EAZ,6,0.6772250594714176
0.13238357787690144,0.9764597344571989,0.12852438545661712,1.8472333333333333,0.3388343259076278,0.4261583333333334,0.42615833333333336,0.567,0.136749309098994,-1.0,4.141542283363905,0.20118341663887476,1.2057555299336617e-5,674286095433037952,MES_ExLR,6,0.6772250594714176
0.12522645894706616,0.9437615269829309,0.1123505051831472,1.7472333333333334,0.30540292423186816,0.40558333333333324,0.40558333333333335,0.567,0.13192387860596957,-1.0,3.890191330109498,0.19072668973375562,6.750480611479485e-5,674286095433037952,STV,6,0.6772250594714176
0.11633534871602465,1.1813156623642302,0.11377518092379524,2.077483333333334,0.5617921719350079,0.49107612612612617,0.49476666666666663,0.267,0.11874267626868984,0.0,3.499410204824635,0.1492911466844533,2.525452891832048e-6,1315574790024478976,AS,6,0.747365040660641
0.11633534871602465,1.1813156623642302,0.11377518092379524,2.077483333333334,0.5617921719350079,0.49107612612612617,0.49476666666666663,0.267,0.11874267626868984,0.0,3.499410204824635,0.1492911466844533,2.525452891832048e-6,1315574790024478976,DRB1,6,0.747365040660641
0.1161620043934004,1.1823052742269242,0.11377518092379524,2.0817583333333336,0.562739140573633,0.48409772727272743,0.49166666666666664,0.3,0.11874267626868984,-1.0,3.508259287907842,0.1473656272580734,2.844659840251254e-6,1315574790024478976,DRB2,6,0.747365040660641
0.11633534871602465,1.1813156623642302,0.11377518092379524,2.077483333333334,0.5617921719350079,0.49107612612612617,0.49476666666666663,0.267,0.11874267626868984,0.0,3.499410204824635,0.1492911466844533,2.525452891832048e-6,1315574790024478976,DRB3,6,0.747365040660641
